,,,,,,,,,,,,,,,"IT IS IMPORTANT THAT THE DATA ENTERED IS CONSISTENT, please follow the guidelines provided",,,,,,,,,,,,,,,,,,,,,,,
PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project,Photos on server,Photos on server NEW test,CO1 NEW,PSBA NEW,RBCL NEW
,Genus(capitalized) species(lower case),separated by semicolon ; if multiple entries,Genus(capitalized) species(lower case),"any uncertainty  given about the id (ie. aff. , cf., ? , s.s. ,s.l.) https://repository.si.edu/bitstream/handle/10088/28986/Sigovini_2016%20ON_%20w%20appendix.pdf?sequence=1&isAllowed=y",BOLD / Martonelab / None,,,x / success / failure,X/F/R/FR,X/F/R/FR,X/F/R/FR,Herbarium / Martonelab / Photo / None,,,enter in one of the four possibilities,in full (ie USA type United States),no abbreviations (ie. BC should be written as British Columbia),"Largest to smallest area, separate with commas, do not use colons, do not end with period",DD-MMM-YYYY,"Upper case ex: Unilocular, Fertile, Male, Female, Tetrasporic, Cystocarpic, Spermatangial,Sporophyte","i.e. colour, height, plot/site numbers, genetic anomalies etc.",A#####,retire?,"any habitat information ie: light level, host substratum, intertidal location and associated species placed here","ie. 99 m, 55 ft etc. please include units and leave a space between units and the value",Yes or leave blank,Decimal degrees,Decimal degrees * negative if in North America (W),"only one collector should be listed, format: First initial. Last",separate by comma only,Field determiner name(s). Please separate names by a comma only. Field/original identification only.,DD-MMM-YYYY,,,,X/F/R/FR,X/F/R/FR,X/F/R/FR
1,Corallina officinalis var. chilensis,,Corallina officinalis,,None,,,,,,,Herbarium,,,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",15-Mar-07,,,A88572,,"Epilithic, low intertidal, above ""Coralline Bench"" on vertical wall",,,,,,,,,,,,,,
2,Bossiella plumosa,no more DNA,Bossiella plumosa,,None,,,,,,,Herbarium,,,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",15-Mar-07,,,A88573,,"Epilithic, mid intertidal, ""Coralline bench""",,,,,,,,,,,,,,
3,Calliarthron cheilosporioides,,Calliarthron cheilosporioides,,None,,,,,,,Herbarium,,,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-07,,,A87283,,"Epilithic, very low intertidal, ""Coralline Bench""",,,,,,,,,,,,,,
4,Calliarthron tuberculosum,,Calliarthron tuberculosum,,None,,,,,,,Herbarium,,,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-07,,,A87284,,"Epilithic, low intertidal, ""Coralline Bench"", adjacent to C. cheilosporioides",,,,,,,,,,,,,,
5,Corallina vancouveriensis,,Corallina vancouveriensis,,None,,,,,,,Herbarium,,,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-07,,,A88574,,"Epilithic, mid-intertidal",,,,,,,,,,,,,,
6,Calliarthron tuberculosum,,Calliarthron tuberculosum,,None,,,,,,,Herbarium,,,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-07,,,A87285,,"Epilithic, mid-intertidal tidepool with 4 dynamometers",,,,,,,,,,,,,,
7,Calliarthron cheilosporioides,,Calliarthron cheilosporioides,,None,,,,,,,Herbarium,,,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-07,,,A87286,,"Epilithic, mid-intertidal tidepool with 4 dynamometers",,,,,,,,,,,,,,
8,Lithothrix aspergillum,,Lithothrix aspergillum,,None,,,,,,,Herbarium,,,Coralline,United States,California,"Treasure Cove, Laguna Beach, CA",27-Aug-07,,,A88575,,"Epilithic, collected by snorkle",,,,,,,,,,,,,,
